school,name,period,sport_code,coachid,sport
"California State University, Fresno","Garza, Linda",Aug 2016 -,WSB,44031,Softball
"University of California, Riverside","Garza, Linda",Aug 2012 - Jul 2016,WSB,30347,Softball
Wright State University,"Garza, Linda",Sep 2009 - Sep 2010,WSB,22795,Softball
The University of North Carolina at Greensboro,"Gaski, Michael",Aug 2003 - Jul 2012,MBA,31691,Baseball
University of Hartford,"Gaspar, Dan",Jul 2005 - Apr 2011,MSO,3915,Men's Soccer
University of Alabama,"Gaspard, Mitch",Oct 2009 - Jun 2016,MBA,22203,Baseball
Northwestern State University,"Gaspard, Mitch",Sep 2003 - Aug 2007,MBA,22202,Baseball
University of Oklahoma,"Gasso, Patty",Nov 1994 -,WSB,6143,Softball
University of Southern California,"Gaston, Andrea",Aug 2004 - Jul 2018,WGO,3726,Women's Golf
"University of Missouri, Columbia","Gaston, Colt",Oct 2016 -,WTE,45274,Women's Tennis
Fairfield University,"Gaston, Jean",Aug 1998 - Aug 2005,WGO,6719,Women's Golf
Michigan State University,"Gatson, Darroll",Aug 2003 - Aug 2006,MTI,4570,"Men's Track, Indoor"
Michigan State University,"Gatson, Darroll",Aug 2003 - Aug 2006,MTO,657,"Men's Track, Outdoor"
University at Albany,"Gattuso, Greg",Jan 2014 -,MFB,35256,Football
Duquesne University,"Gattuso, Greg",Feb 1992 - Mar 2005,MFB,7461,Football
Dartmouth College,"Gaudet, Bob",Aug 1997 -,MIH,6436,Men's Ice Hockey
George Mason University,"Gaudi, Linda",Aug 2003 - Jul 2006,MGO,9360,Men's Golf
Chicago State University,"Gaudio, Alyssa",Nov 2013 - Nov 2014,WGO,34720,Women's Golf
Oakland University,"Gaudio, Alyssa",Dec 2014 -,WGO,40746,Women's Golf
Wake Forest University,"Gaudio, Dino",Sep 2007 - May 2010,MBB,2765,Men's Basketball
College of the Holy Cross,"Gaudreau, Evan",Aug 2009 - Sep 2013,MTE,22879,Men's Tennis
Southeastern Louisiana University,"Gauff, Errol",Jun 2016 - May 2017,WBB,44037,Women's Basketball
Bradley University,"Gauson, Darren",Sep 2015 -,WCC,40743,Women's Cross Country
Bradley University,"Gauson, Darren",Sep 2015 -,WTI,40744,"Women's Track, Indoor"
Bradley University,"Gauson, Darren",Sep 2015 -,MCC,40742,Men's Cross Country
Bradley University,"Gauson, Darren",Sep 2015 -,MTI,40740,"Men's Track, Indoor"
Bradley University,"Gauson, Darren",Sep 2015 -,WTO,40745,"Women's Track, Outdoor"
Bradley University,"Gauson, Darren",Sep 2015 -,MTO,40741,"Men's Track, Outdoor"
College of William & Mary,"Gauthier, Cliff",Aug 2004 - Jan 2017,MGY,7574,Men's Gymnastics
University of Tennessee at Chattanooga,"Gautier, Bill",Aug 1991 - Sep 2016,MTO,7427,"Men's Track, Outdoor"
University of Tennessee at Chattanooga,"Gautier, Bill",Aug 1991 - Sep 2016,WTO,4919,"Women's Track, Outdoor"
University of Tennessee at Chattanooga,"Gautier, Bill",Aug 1991 - Sep 2016,MCC,4331,Men's Cross Country
University of Tennessee at Chattanooga,"Gautier, Bill",Aug 1991 - Sep 2016,WTI,3250,"Women's Track, Indoor"
University of Tennessee at Chattanooga,"Gautier, Bill",Aug 1991 - Sep 2016,MTI,4345,"Men's Track, Indoor"
University of Tennessee at Chattanooga,"Gautier, Bill",Aug 1991 - Sep 2016,WCC,8755,Women's Cross Country
University of Pittsburgh,"Gavin, Keith",May 2017 -,MWR,49570,Men's Wrestling
Central Michigan University,"Gawlik, Mike",Feb 2016 -,WVB,43887,Women's Volleyball
The University of Texas Rio Grande Valley,"Gawlik, Willie",Sep 2002 - Jul 2008,MBA,5396,Baseball
University of North Dakota,"Gay, Kristen",Mar 2008 - Jan 2013,WSO,6022,Women's Soccer
Francis Marion University,"Gaynor, Mark",Aug 2005 -,MGO,3522,Men's Golf
Northeastern University,"Gbandi, Chris",Feb 2016 -,MSO,42693,Men's Soccer
Cornell University,"Geatz, David",Aug 2009 - May 2010,WTE,19904,Women's Tennis
Cornell University,"Geatz, David",Aug 2008 - May 2010,MTE,8083,Men's Tennis
University of Pennsylvania,"Geatz, David",Aug 2011 -,MTE,29382,Men's Tennis
"University of Minnesota, Twin Cities","Geatz, David",Aug 2003 - Aug 2005,MTE,2673,Men's Tennis
American University,"Gebbia, Megan",Oct 2013 -,WBB,38252,Women's Basketball
Saint Francis University (Pennsylvania),"Gebhard, Gregg",Aug 2011 - Apr 2016,WLA,27415,Women's Lacrosse
Longwood University,"Gee, Jayson",Aug 2013 - Apr 2018,MBB,33333,Men's Basketball
Cornell University,"Gehman, Hilary",Aug 2007 - Sep 2014,WCR,9293,Women's Rowing
Pepperdine University,"Geiberger, John",Aug 2003 - Nov 2012,MGO,6583,Men's Golf
The Citadel,"Geiger, Carolyn",Aug 2005 - Dec 2010,WVB,6818,Women's Volleyball
North Carolina State University,"Geiger, Rollie",Oct 1984 -,MTO,20,"Men's Track, Outdoor"
North Carolina State University,"Geiger, Rollie",Oct 1984 -,WTI,4192,"Women's Track, Indoor"
North Carolina State University,"Geiger, Rollie",Oct 1984 - Aug 2006,WCC,6604,Women's Cross Country
North Carolina State University,"Geiger, Rollie",Oct 1984 -,MCC,4945,Men's Cross Country
North Carolina State University,"Geiger, Rollie",Oct 1984 -,MTI,3851,"Men's Track, Indoor"
North Carolina State University,"Geiger, Rollie",Oct 1984 -,WTO,5187,"Women's Track, Outdoor"
College of William & Mary,"Geiger-Walton, Meredith",Aug 2008 - May 2012,WTE,20081,Women's Tennis
"University of Maryland, Baltimore County","Gelbard, Heather",Aug 2016 - Jul 2018,WSB,49641,Softball
St. John's University (New York),"Gelman, Yury",Nov 1995 -,MFE,6915,Men's Fencing
St. John's University (New York),"Gelman, Yury",Nov 1995 -,WFE,3131,Women's Fencing
University of Virginia,"Gelnovatch, George",Aug 2003 -,MSO,3653,Men's Soccer
Savannah State University,"Gelow, Art",Aug 2002 -,MGO,5679,Men's Golf
Savannah State University,"Gelow, Art",Aug 2002 -,WGO,9374,Women's Golf
Iowa State University,"Gemeinhardt-Cesler, Stacy",Aug 2005 - Jun 2016,WSB,4333,Softball
University of Northern Colorado,"Gendron, Ben",Sep 2016 -,MTE,45400,Men's Tennis
"University of Maine, Orono","Gendron, Dennis Red",Jun 2013 -,MIH,34963,Men's Ice Hockey
Bryant University,"Gendron, Ron",Mar 2007 -,MTE,8572,Men's Tennis
Princeton University,"Gengler, Louise",Aug 2003 - Aug 2004,WTE,3182,Women's Tennis
Utah State University,"Gensel, Gregg",Aug 1988 - Dec 2017,WCC,22315,Women's Cross Country
Utah State University,"Gensel, Gregg",Aug 1983 - Dec 2017,WTI,22310,"Women's Track, Indoor"
Utah State University,"Gensel, Gregg",Aug 1985 - Dec 2017,MCC,22312,Men's Cross Country
Utah State University,"Gensel, Gregg",Aug 1983 - Dec 2017,WTO,22311,"Women's Track, Outdoor"
Utah State University,"Gensel, Gregg",Aug 1988 - Dec 2017,MTI,22313,"Men's Track, Indoor"
Utah State University,"Gensel, Gregg",Aug 1988 - Dec 2017,MTO,22314,"Men's Track, Outdoor"
Eastern Michigan University,"Gentile, Melissa",Sep 2013 - Sep 2018,WSB,34811,Softball
Jacksonville University,"Gentile, Melissa",Sep 2005 - Aug 2006,WSB,10135,Softball
Eastern Michigan University,"Gentile, Pina",Sep 2015 - Aug 2018,WGO,41885,Women's Golf
Eastern Michigan University,"Genyk, Jeff",Jan 2004 - Jan 2009,MFB,8557,Football
University of Northern Iowa,"Geopfert, Travis",Sep 2008 - Sep 2009,MTO,4610,"Men's Track, Outdoor"
University of Northern Iowa,"Geopfert, Travis",Sep 2008 - Sep 2009,WCC,4403,Women's Cross Country
University of Northern Iowa,"Geopfert, Travis",Sep 2008 - Sep 2009,MTI,4639,"Men's Track, Indoor"
University of Northern Iowa,"Geopfert, Travis",Aug 2008 - Jul 2009,WTO,7353,"Women's Track, Outdoor"
University of Northern Iowa,"Geopfert, Travis",Aug 2008 - Jul 2009,WTI,5934,"Women's Track, Indoor"
University of Northern Iowa,"Geopfert, Travis",Sep 2008 - Sep 2009,MCC,4508,Men's Cross Country
Western Michigan University,"George, Cathy",Jan 1994 - Jan 2005,WVB,1136,Women's Volleyball
Michigan State University,"George, Cathy",Aug 2004 -,WVB,7740,Women's Volleyball
University of South Carolina Upstate,"George, Tammy",Aug 2005 -,WBB,4753,Women's Basketball
Stanford University,"Gerard, Andrew",Sep 2003 - Sep 2005,MCC,8887,Men's Cross Country
George Mason University,"Gerard, Andrew",Sep 2008 -,WCC,6892,Women's Cross Country
George Mason University,"Gerard, Andrew",Sep 2005 -,MTI,8129,"Men's Track, Indoor"
George Mason University,"Gerard, Andrew",Sep 2008 -,WTI,5825,"Women's Track, Indoor"
George Mason University,"Gerard, Andrew",Sep 2005 -,MCC,3557,Men's Cross Country
George Mason University,"Gerard, Andrew",Sep 2008 -,WTO,4739,"Women's Track, Outdoor"
George Mason University,"Gerard, Andrew",Sep 2005 -,MTO,6703,"Men's Track, Outdoor"
Hofstra University,"Gerdts, Bill",Aug 2003 - Jan 2006,WTE,1683,Women's Tennis
Hofstra University,"Gerdts, Bill",Aug 2003 - Jan 2006,MTE,8188,Men's Tennis
University of Texas at Arlington,"Gerlich, Krista",May 2013 -,WBB,39072,Women's Basketball
Hampton University,"German, Enrique",Aug 2005 - Jul 2007,MCC,4867,Men's Cross Country
Hampton University,"German, Enrique",Sep 2005 - Jul 2007,MTI,5514,"Men's Track, Indoor"
Hampton University,"German, Enrique",Sep 2005 - Aug 2007,MTO,9423,"Men's Track, Outdoor"
Western Michigan University,"Gernon, Billy",Jul 2010 -,MBA,25079,Baseball
Purdue University Fort Wayne,"Gernon, Billy",Aug 2003 - Sep 2008,MBA,3746,Baseball
Union College (New York),"Gerrish, Tim",Aug 2004 - Jul 2007,WIH,9745,Women's Ice Hockey
University of Richmond,"Gerstenfeld, Steve",Aug 2003 - Aug 2008,MTE,2009,Men's Tennis
"University of Nevada, Reno","Gervasoni, Kim",Aug 2003 - Jun 2008,WBB,5173,Women's Basketball
University of Alabama at Birmingham,"Getman, Mike",Sep 1992 -,MSO,22316,Men's Soccer
University of Richmond,"Gettler, Jeff",Aug 2003 - Jan 2009,MSO,6830,Men's Soccer
University of Miami (Florida),"Getz, Bryan",Aug 2003 - Aug 2004,MTE,8345,Men's Tennis
University of Mississippi,"Getzin, Joe",Aug 2003 - Jan 2014,WVB,1289,Women's Volleyball
Portland State University,"Geving, Tyler",May 2009 - Apr 2017,MBB,19677,Men's Basketball
Jacksonville State University,"Geyer, Becky B.",Jun 2006 - Apr 2010,WBB,50979,Women's Basketball
Louisiana State University,"Geyer, Dave",Aug 2010 -,WSW,23578,Women's Swimming and Diving
Louisiana State University,"Geyer, Dave",Aug 2010 -,MSW,23577,Men's Swimming and Diving
Monmouth University,"Ghent, Eileen",Sep 2015 - Aug 2017,WLA,44214,Women's Lacrosse
Sam Houston State University,"Giachino, Jim",Aug 2006 - Aug 2016,WTE,905,Women's Tennis
Missouri State University,"Giachino, Jim",Aug 2003 - Aug 2006,WTE,5029,Women's Tennis
University of Utah,"Giacoletti, Ray",Apr 2004 - Apr 2007,MBB,2988,Men's Basketball
Drake University,"Giacoletti, Ray",May 2013 - Jan 2017,MBB,33679,Men's Basketball
Eastern Washington University,"Giacoletti, Ray",Aug 2000 - Apr 2004,MBB,21658,Men's Basketball
Hofstra University,"Giambanco, Vincent",Sep 2014 -,WCC,37608,Women's Cross Country
Hofstra University,"Giambanco, Vincent",Sep 2014 -,MCC,37607,Men's Cross Country
Central Connecticut State University,"Giancola, Kevin",Jul 2009 - Feb 2015,MGO,19922,Men's Golf
University of Alabama at Birmingham,"Giangrosso, Larry",Aug 1999 - Jul 2006,MBA,662,Baseball
Michigan State University,"Gianiodis, Matt",Aug 2003 -,MSW,8071,Men's Swimming and Diving
Michigan State University,"Gianiodis, Matt",Aug 2003 -,WSW,9230,Women's Swimming and Diving
"University of Maine, Orono","Giannini, John",Aug 1996 - Aug 2004,MBB,5941,Men's Basketball
La Salle University,"Giannini, John",Sep 2004 - May 2018,MBB,494,Men's Basketball
Long Island University-Brooklyn Campus,"Giannone, Frank",Oct 1976 - Aug 2004,MBA,1340,Baseball
Sacred Heart University,"Giaquinto, Mike",Aug 2003 - Aug 2005,MGO,8586,Men's Golf
Sacred Heart University,"Giaquinto, Nick",Aug 2003 - Jun 2017,MBA,4548,Baseball
University of San Francisco,"Giarratano, Nino",Jul 1998 -,MBA,22317,Baseball
"University of South Carolina, Columbia","Gibb, Don",Aug 2003 - Aug 2007,MSW,8666,Men's Swimming and Diving
"University of South Carolina, Columbia","Gibb, Don",Aug 2003 - Aug 2007,WSW,8133,Women's Swimming and Diving
College of the Holy Cross,"Gibbons, Bill",Aug 1985 -,WBB,6222,Women's Basketball
University of the Pacific,"Gibbons, Greg",Feb 2010 -,WVB,24791,Women's Volleyball
Wagner College,"Gibbons, Jim",Feb 2011 - Feb 2011,WTE,26270,Women's Tennis
Wagner College,"Gibbons, Jim",Feb 2011 - Feb 2011,MTE,26271,Men's Tennis
Hampton University,"Gibbons, Regina",Sep 2006 - Jul 2010,WSB,4427,Softball
University of North Florida,"Gibbs, Darrick",May 2015 -,WBB,39607,Women's Basketball
Pepperdine University,"Gibbs, Laurie",Aug 2003 -,WGO,22318,Women's Golf
University of Michigan,"Gibby, Alex",Sep 2010 - Jul 2014,MCC,24705,Men's Cross Country
College of William & Mary,"Gibby, Alex",Aug 2003 - Aug 2010,MCC,6201,Men's Cross Country
Lamar University,"Gibert, Justin",Aug 2005 - Dec 2013,WVB,5352,Women's Volleyball
Idaho State University,"Gibson, Allison",Aug 2005 -,WSO,6453,Women's Soccer
Mercer University,"Gibson, Craig",Aug 2003 -,MBA,5309,Baseball
Dartmouth College,"Gibson, Kevin",Aug 2003 - Jul 2011,WGO,5197,Women's Golf
Florida A&M University,"Gibson, LeDawn",Aug 2007 -,WBB,3434,Women's Basketball
University of Hartford,"Gibson, Tyler",Aug 2003 - Aug 2004,MTE,9718,Men's Tennis
U.S. Air Force Academy,"Gidley, Kim",Jul 2000 -,WTE,4928,Women's Tennis
Grand Canyon University,"Giesecke, Lauren",Feb 2015 -,WGO,42132,Women's Golf
St. Cloud State University,"Giesen, Jeffrey L.",Oct 2006 - Jul 2014,WIH,19400,Women's Ice Hockey
Virginia Commonwealth University,"Giffard, Dave",Jan 2010 -,MSO,22921,Men's Soccer
Colgate University,"Gifford, Mac",Sep 2007 - Apr 2010,MGO,467,Men's Golf
Syracuse University,"Gifford, Mac",Aug 2003 - Aug 2006,WTE,9390,Women's Tennis
"California State University, Fresno","Giglio, Jessica",Sep 2011 -,WLA,29565,Women's Lacrosse
Eastern Michigan University,"Gilbert, Ann Marie",Jun 2007 - May 2012,WBB,21021,Women's Basketball
University of Southern California,"Gilbert, Caryl Smith",Aug 2013 -,WTI,34145,"Women's Track, Indoor"
University of Southern California,"Gilbert, Caryl Smith",Aug 2013 -,WTO,34146,"Women's Track, Outdoor"
University of Southern California,"Gilbert, Caryl Smith",Aug 2013 -,MTI,34143,"Men's Track, Indoor"
University of Southern California,"Gilbert, Caryl Smith",Aug 2013 -,MTO,34144,"Men's Track, Outdoor"
Jacksonville University,"Gilbert, Steve",Apr 1997 - Dec 2006,MFB,10125,Football
University of Washington,"Gilbertson, Keith",Aug 2003 - Dec 2004,MFB,6087,Football
Norfolk State University,"Giles, Kenneth",Aug 2003 -,MCC,1615,Men's Cross Country
Norfolk State University,"Giles, Kenneth",Aug 2004 -,MTI,2192,"Men's Track, Indoor"
Norfolk State University,"Giles, Kenneth",Aug 2003 -,MTO,6260,"Men's Track, Outdoor"
University of North Carolina Wilmington,"Gili, Rodrigo",Nov 2005 - Sep 2006,MTE,6061,Men's Tennis
Loyola Marymount University,"Gill, Jason",Sep 2008 -,MBA,6483,Baseball
Grand Canyon University,"Gill, Stevie",Sep 2007 - Sep 2015,WSO,13245,Women's Soccer
"University at Buffalo, the State University of New York","Gill, Turner",Jan 2006 - Jan 2010,MFB,5872,Football
Liberty University,"Gill, Turner",Jan 2012 -,MFB,30195,Football
University of Kansas,"Gill, Turner",Jan 2010 - Jan 2012,MFB,22866,Football
University of Virginia,"Gillen, Pete",Aug 2003 - Apr 2005,MBB,3876,Men's Basketball
Illinois State University,"Gillespie, Kristen",May 2017 -,WBB,46284,Women's Basketball
"University of California, Irvine","Gillespie, Mike",Nov 2007 - Aug 2018,MBA,6373,Baseball
University of Southern California,"Gillespie, Mike",Jul 1986 - Jul 2006,MBA,5111,Baseball
Florida A&M University,"Gillespie, Mike",Aug 2003 - Aug 2007,MBB,5840,Men's Basketball
Youngstown State University,"Gilliam, Chelsea",Oct 2015 -,WBW,45167,Women's Bowling
Longwood University,"Gillian, Mike",Jun 2003 - Aug 2013,MBB,4128,Men's Basketball
Prairie View A&M University,"Gilliard, Clifford",Aug 2003 - Jun 2010,MTO,8853,"Men's Track, Outdoor"
Prairie View A&M University,"Gilliard, Clifford",Aug 2003 - Jun 2010,MTI,458,"Men's Track, Indoor"
Prairie View A&M University,"Gilliard, Clifford",Aug 2003 - Jun 2010,MCC,4048,Men's Cross Country
Lamar University,"Gilligan, Jim",Sep 1972 - Jun 2016,MBA,3768,Baseball
University of Kentucky,"Gillispie, Billy",May 2007 - Apr 2009,MBB,3463,Men's Basketball
Texas Tech University,"Gillispie, Billy",Apr 2011 - Oct 2012,MBB,29117,Men's Basketball
"Texas A&M University, College Station","Gillispie, Billy",Apr 2004 - May 2007,MBB,3298,Men's Basketball
Youngstown State University,"Gillispie, Steve",Sep 2012 - Jul 2016,MBA,31921,Baseball
Norfolk State University,"Gillus, Willie",Aug 2003 - Aug 2004,MFB,5940,Football
Coastal Carolina University,"Gilmore, Gary",Aug 1995 -,MBA,2658,Baseball
College of the Holy Cross,"Gilmore, Tom",Feb 2004 - Nov 2017,MFB,5555,Football
St. Francis College Brooklyn,"Gilot, Rony",Aug 2003 - Aug 2005,WVB,6854,Women's Volleyball
University of South Dakota,"Gilreath, Malcolm",Sep 2004 - Oct 2014,WTE,19426,Women's Tennis
McNeese State University,"Gilroy, Brendon",Aug 2006 -,WCC,8018,Women's Cross Country
McNeese State University,"Gilroy, Brendon",Sep 2007 -,WTO,9363,"Women's Track, Outdoor"
McNeese State University,"Gilroy, Brendon",Sep 2007 -,MTI,3574,"Men's Track, Indoor"
McNeese State University,"Gilroy, Brendon",Aug 2006 -,MCC,1064,Men's Cross Country
McNeese State University,"Gilroy, Brendon",Sep 2007 -,WTI,2420,"Women's Track, Indoor"
McNeese State University,"Gilroy, Brendon",Sep 2007 -,MTO,2680,"Men's Track, Outdoor"
Long Beach State University,"Gimmillaro, Brian",Aug 2003 - Jul 2017,WVB,22319,Women's Volleyball
Appalachian State University,"Ginipro, Matt",Jul 2007 -,WVB,9714,Women's Volleyball
Marist College,"Giorgis, Brian",Aug 2003 -,WBB,22320,Women's Basketball
St. Francis College Brooklyn,"Giovatto, Tom",Aug 2007 -,MSO,697,Men's Soccer
"University of Maryland, Baltimore County","Giro, Anthony",Aug 2012 - May 2015,WLA,32581,Women's Lacrosse
Louisiana State University,"Girouard, Yvette",Aug 2000 - Jul 2011,WSB,1626,Softball
"California State University, Fullerton","Gishi, Richard",Sep 2005 - Jul 2006,WGY,25854,Women's Gymnastics
"University of Maryland, Baltimore County","Gittermann, Matt",Aug 2008 -,MCC,8044,Men's Cross Country
"University of Maryland, Baltimore County","Gittermann, Matt",Aug 2008 -,WCC,2937,Women's Cross Country
Radford University,"Giuggioli, Jessica",Feb 2016 -,WTE,42874,Women's Tennis
Charleston Southern University,"Givens, Albert",Aug 2012 - May 2013,WVB,32084,Women's Volleyball
Weber State University,"Givens, Albert",May 1993 - Dec 2010,WVB,1208,Women's Volleyball
The University of Texas Rio Grande Valley,"Glad Bugariu, Tudor",May 2013 -,WSO,35410,Women's Soccer
Birmingham-Southern College,"Gladden, Sam",Aug 2004 - Aug 2006,WRI,6004,Women's Rifle
University of Alabama,"Glance, Harvey",Aug 2003 - Jul 2011,MTO,6158,"Men's Track, Outdoor"
University of Alabama,"Glance, Harvey",Aug 2003 - Jul 2011,MTI,3325,"Men's Track, Indoor"
University of Alabama,"Glance, Harvey",Aug 2003 - Jul 2011,MCC,5874,Men's Cross Country
Illinois State University,"Glance, Stephanie",May 2010 - May 2013,WBB,23503,Women's Basketball
Columbia University-Barnard College,"Glance, Stephanie",May 2013 - Oct 2015,WBB,32424,Women's Basketball
Portland State University,"Glanville, Jerry",Apr 2007 - Apr 2010,MFB,9038,Football
Stony Brook University,"Glassman, Gary",Aug 2003 - Apr 2017,MTE,22321,Men's Tennis
Stony Brook University,"Glassman, Gary",Aug 2003 -,WTE,22322,Women's Tennis
Saint Joseph's University,"Glavin, Mike",Aug 1994 -,MTI,3759,"Men's Track, Indoor"
Saint Joseph's University,"Glavin, Mike",Oct 1999 -,MTO,3755,"Men's Track, Outdoor"
Saint Joseph's University,"Glavin, Mike",Oct 1989 -,MCC,9488,Men's Cross Country
Northeastern University,"Glavine, Michael",Aug 2014 -,MBA,35663,Baseball
Central Connecticut State University,"Gleason, Breanne",Aug 2015 -,WSB,42095,Softball
Boston University,"Gleason, Kathryn",Sep 2013 - Jun 2015,WSB,31914,Softball
Northern Kentucky University,"Gleason, Kathryn",Sep 2015 -,WSB,41373,Softball
Houston Baptist University,"Gleason, Mary",Aug 2010 - May 2013,WBB,24198,Women's Basketball
Saint Francis University (Pennsylvania),"Gleason, Scott",Aug 2001 - Apr 2008,WVB,168,Women's Volleyball
University of Wyoming,"Glenn, Joe",Jan 2003 - Dec 2008,MFB,7641,Football
University of South Dakota,"Glenn, Joe",Jan 2012 - Jan 2016,MFB,29309,Football
"University of Tennessee, Knoxville","Glenn, Lisa",Sep 1998 -,WCR,22323,Women's Rowing
University of Cincinnati,"Glenn, Meridy",Sep 1983 - Dec 2007,WSO,4889,Women's Soccer
Stanford University,"Glielmi, Thom",Oct 2001 -,MGY,2653,Men's Gymnastics
Purdue University,"Glitz, Laura",Sep 2007 -,WTE,7017,Women's Tennis
Cornell University,"Glitz, Laura",Aug 2004 - Sep 2007,WTE,4168,Women's Tennis
Pennsylvania State University,"Glon, Wieslaw",Aug 2014 -,MFE,34676,Men's Fencing
Pennsylvania State University,"Glon, Wieslaw",Aug 2014 -,WFE,34677,Women's Fencing
Iona College,"Glovaski, Matt",Aug 2007 - Sep 2013,MGO,8121,Men's Golf
Western Carolina University,"Glover, Karen",Apr 2011 -,WVB,27211,Women's Volleyball
University of San Francisco,"Glynn, Sarah",Sep 2009 - Jun 2017,WGO,19884,Women's Golf
Southern Illinois University Edwardsville,"Gober, Todd",Aug 2003 - May 2011,WVB,5857,Women's Volleyball
Baylor University,"Goble, Jay",Jun 2012 -,WGO,29526,Women's Golf
U.S. Air Force Academy,"Gobrecht, Chris",May 2015 -,WBB,40034,Women's Basketball
Yale University,"Gobrecht, Chris",Jul 2005 - Apr 2015,WBB,10706,Women's Basketball
North Dakota State University,"Godfrey, Ryun",Aug 1999 - Oct 2014,WTI,1149,"Women's Track, Indoor"
North Dakota State University,"Godfrey, Ryun",Aug 1999 - Oct 2014,WTO,47,"Women's Track, Outdoor"
Kansas State University,"Godfrey, Ryun",Oct 2014 -,MCC,38117,Men's Cross Country
Kansas State University,"Godfrey, Ryun",Oct 2014 -,WCC,38118,Women's Cross Country
North Dakota State University,"Godfrey, Ryun",Aug 2004 - Oct 2014,WCC,5072,Women's Cross Country
Northwestern State University,"Godin, Luc",Oct 2010 - Feb 2012,WTE,25693,Women's Tennis
South Carolina State University,"Godinet, Litia",Feb 2015 - Nov 2015,WTE,39567,Women's Tennis
Butler University,"Godlevske, Kurt",Jun 2014 -,WBB,36052,Women's Basketball
Villanova University,"Godri, Joe",Oct 2002 - Jul 2016,MBA,499,Baseball
Iona College,"Godsey, Billi",Jun 2013 -,WBB,34443,Women's Basketball
Liberty University,"Godwin, Adam",May 2008 - Aug 2008,WSO,4488,Women's Soccer
East Carolina University,"Godwin, Billy",Nov 2005 - Jul 2014,MBA,1887,Baseball
East Carolina University,"Godwin, Cliff",Jul 2014 -,MBA,37877,Baseball
Middle Tennessee State University,"Godwin, Shelley",Oct 2011 - Aug 2015,WTE,29840,Women's Tennis
University of Memphis,"Goebel, Paul",Feb 2005 -,MTE,4865,Men's Tennis
Idaho State University,"Goeltz, Bobby",Oct 1990 - Aug 2015,MTE,42,Men's Tennis
Idaho State University,"Goeltz, Bobby",Oct 1990 - Aug 2015,WTE,8757,Women's Tennis
Southern Illinois University at Carbondale,"Goelz, Jeff",Aug 2000 - Feb 2008,WSW,7164,Women's Swimming and Diving
University of Maryland Eastern Shore,"Goens, Charlie",Apr 2016 - Jul 2017,MBA,45570,Baseball
Duke University,"Goestenkors, Gail",Jul 1992 - May 2007,WBB,161,Women's Basketball
University of Texas at Austin,"Goestenkors, Gail",May 2007 - May 2012,WBB,2115,Women's Basketball
University of the Pacific,"Goethals, Brandon",Aug 2005 - May 2014,MGO,1397,Men's Golf
University of Akron,"Goetze, Nick",Sep 2007 - Jun 2011,MGO,5260,Men's Golf
Campbell University,"Goff, Greg",Jun 2007 - Jul 2014,MBA,858,Baseball
Louisiana Tech University,"Goff, Greg",Jul 2014 - Jun 2016,MBA,37645,Baseball
University of Alabama,"Goff, Greg",Jul 2016 - Jun 2017,MBA,44230,Baseball
"University of South Carolina, Columbia","Goffi, Josh",Aug 2010 -,MTE,24253,Men's Tennis
University of Evansville,"Golan, Dave",Feb 2003 - Dec 2005,MSO,4727,Men's Soccer
U.S. Military Academy,"Golan, Stefanie",Dec 2008 - Jul 2012,WSO,19958,Women's Soccer
"University of Minnesota, Twin Cities","Golan, Stefanie",Aug 2012 -,WSO,30175,Women's Soccer
Lafayette College,"Gold, Ann",Sep 1982 - Jul 2007,WFH,5012,Field Hockey
"University of California, Davis","Goldbar, Ray",Aug 1974 - Jul 2006,WGY,3811,Women's Gymnastics
American University,"Goldberg, Barry",Sep 1993 -,WVB,305,Women's Volleyball
University of Connecticut,"Goldberg, Bob",Nov 1988 - Jun 2017,WSW,22325,Women's Swimming and Diving
University of Connecticut,"Goldberg, Bob",Nov 1988 - Jun 2017,MSW,22324,Men's Swimming and Diving
Temple University,"Golden, Al",Jan 2006 - Jan 2011,MFB,3941,Football
University of Miami (Florida),"Golden, Al",Jan 2011 - Nov 2016,MFB,28662,Football
University of Michigan,"Golder, Kurt",Aug 1996 -,MGY,2742,Men's Gymnastics
Birmingham-Southern College,"Goldfarb, Preston",Aug 2003 - Jun 2016,MSO,1204,Men's Soccer
Abilene Christian University,"Golding, Joe",Aug 2011 -,MBB,27093,Men's Basketball
"Indiana University, Bloomington","Goldman, Duane",Aug 1992 - May 2018,MWR,9091,Men's Wrestling
Bucknell University,"Goldsborough, Randall",Sep 2011 - Sep 2017,WLA,30724,Women's Lacrosse
Stanford University,"Goldstein, Paul",Sep 2014 -,MTE,37017,Men's Tennis
Florida A&M University,"Goldthreate, Rochelle",Aug 2005 -,WTE,3724,Women's Tennis
Auburn University,"Golloway, Sunny",Jul 2013 - Oct 2015,MBA,32981,Baseball
University of Oklahoma,"Golloway, Sunny",Aug 2005 - Jun 2013,MBA,4276,Baseball
Illinois State University,"Golz, Eric",Feb 2015 - Jan 2017,WSO,39815,Women's Soccer
University of Dayton,"Golz, Eric",Jan 2017 -,WSO,46235,Women's Soccer
Wichita State University,"Gomez, Chris",Aug 2003 - Jan 2008,WGO,1965,Women's Golf
Northwestern State University,"Gomez, Freddy",Aug 2017 - Aug 2018,WTE,47411,Women's Tennis
Louisiana Tech University,"Gomez, Freddy",Dec 2012 - Oct 2013,WTE,34052,Women's Tennis
